index_all,info.dates,info.gender,info.match_type,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.result,info.outcome.winner,info.player_of_match,info.teams,info.toss.decision,info.toss.winner,info.venue
2145,"[datetime.date(2012, 12, 13), datetime.date(2012, 12, 14), datetime.date(2012, 12, 15), datetime.date(2012, 12, 16), datetime.date(2012, 12, 17)]",male,Test,,,draw,,['JM Anderson'],"['India', 'England']",bat,England,"Vidarbha Cricket Association Stadium, Jamtha"
2146,"[datetime.date(2012, 12, 20)]",male,T20,,5,,India,['Yuvraj Singh'],"['India', 'England']",field,India,Subrata Roy Sahara Stadium
2147,"[datetime.date(2012, 12, 22)]",male,T20,,6,,England,['EJG Morgan'],"['India', 'England']",field,England,Wankhede Stadium
2148,"[datetime.date(2013, 1, 11)]",male,ODI,9,,,England,['JC Tredwell'],"['India', 'England']",bat,England,Saurashtra Cricket Association Stadium
2149,"[datetime.date(2013, 1, 15)]",male,ODI,127,,,India,['RA Jadeja'],"['India', 'England']",bat,India,Nehru Stadium
2150,"[datetime.date(2013, 1, 19)]",male,ODI,,7,,India,['V Kohli'],"['India', 'England']",field,India,JSCA International Stadium Complex
2151,"[datetime.date(2013, 1, 23)]",male,ODI,,5,,India,['SK Raina'],"['India', 'England']",field,India,"Punjab Cricket Association Stadium, Mohali"
2152,"[datetime.date(2013, 1, 27)]",male,ODI,,7,,England,['IR Bell'],"['India', 'England']",field,England,Himachal Pradesh Cricket Association Stadium
2153,"[datetime.date(2012, 8, 23), datetime.date(2012, 8, 24), datetime.date(2012, 8, 25), datetime.date(2012, 8, 26)]",male,Test,115,,,India,['R Ashwin'],"['India', 'New Zealand']",bat,India,"Rajiv Gandhi International Stadium, Uppal"
2154,"[datetime.date(2012, 8, 31), datetime.date(2012, 9, 1), datetime.date(2012, 9, 2), datetime.date(2012, 9, 3)]",male,Test,,5,,India,['V Kohli'],"['India', 'New Zealand']",bat,New Zealand,M Chinnaswamy Stadium
2155,"[datetime.date(2012, 9, 11)]",male,T20,1,,,New Zealand,['BB McCullum'],"['India', 'New Zealand']",field,India,"MA Chidambaram Stadium, Chepauk"
2156,"[datetime.date(2012, 9, 4)]",female,T20,,7,,England,['A Shrubsole'],"['England', 'Pakistan']",bat,Pakistan,Haslegrave Ground
2157,"[datetime.date(2012, 9, 5)]",female,T20,81,,,England,['DN Wyatt'],"['England', 'Pakistan']",bat,England,Haslegrave Ground
2158,"[datetime.date(2013, 5, 16), datetime.date(2013, 5, 17), datetime.date(2013, 5, 18), datetime.date(2013, 5, 19)]",male,Test,170,,,England,['SCJ Broad'],"['England', 'New Zealand']",bat,England,Lord's
2159,"[datetime.date(2013, 5, 24), datetime.date(2013, 5, 25), datetime.date(2013, 5, 26), datetime.date(2013, 5, 27), datetime.date(2013, 5, 28)]",male,Test,247,,,England,['GP Swann'],"['England', 'New Zealand']",bat,England,Headingley
2160,"[datetime.date(2013, 5, 31)]",male,ODI,,5,,New Zealand,['MJ Guptill'],"['England', 'New Zealand']",field,New Zealand,Lord's
2161,"[datetime.date(2013, 6, 2)]",male,ODI,86,,,New Zealand,['MJ Guptill'],"['England', 'New Zealand']",bat,New Zealand,The Rose Bowl
2162,"[datetime.date(2013, 6, 5)]",male,ODI,34,,,England,['JC Buttler'],"['England', 'New Zealand']",field,New Zealand,Trent Bridge
2163,"[datetime.date(2013, 6, 25)]",male,T20,5,,,New Zealand,['HD Rutherford'],"['England', 'New Zealand']",field,England,Kennington Oval
2164,"[datetime.date(2013, 6, 27)]",male,T20,,,no result,,,"['England', 'New Zealand']",field,New Zealand,Kennington Oval
2165,"[datetime.date(2013, 7, 10), datetime.date(2013, 7, 11), datetime.date(2013, 7, 12), datetime.date(2013, 7, 13), datetime.date(2013, 7, 14)]",male,Test,14,,,England,['JM Anderson'],"['England', 'Australia']",bat,England,Trent Bridge
2166,"[datetime.date(2013, 7, 18), datetime.date(2013, 7, 19), datetime.date(2013, 7, 20), datetime.date(2013, 7, 21)]",male,Test,347,,,England,['JE Root'],"['England', 'Australia']",bat,England,Lord's
2167,"[datetime.date(2013, 8, 1), datetime.date(2013, 8, 2), datetime.date(2013, 8, 3), datetime.date(2013, 8, 4), datetime.date(2013, 8, 5)]",male,Test,,,draw,,['MJ Clarke'],"['England', 'Australia']",bat,Australia,Old Trafford
2168,"[datetime.date(2013, 8, 9), datetime.date(2013, 8, 10), datetime.date(2013, 8, 11), datetime.date(2013, 8, 12)]",male,Test,74,,,England,['SCJ Broad'],"['England', 'Australia']",bat,England,Riverside Ground
2169,"[datetime.date(2013, 8, 21), datetime.date(2013, 8, 22), datetime.date(2013, 8, 23), datetime.date(2013, 8, 24), datetime.date(2013, 8, 25)]",male,Test,,,draw,,['SR Watson'],"['England', 'Australia']",bat,Australia,Kennington Oval
2170,"[datetime.date(2013, 8, 29)]",male,T20,39,,,Australia,['AJ Finch'],"['England', 'Australia']",field,England,The Rose Bowl
2171,"[datetime.date(2013, 8, 31)]",male,T20,27,,,England,['AD Hales'],"['England', 'Australia']",field,Australia,Riverside Ground
2172,"[datetime.date(2013, 9, 3)]",male,ODI,,6,,England,['EJG Morgan'],"['Ireland', 'England']",field,England,"The Village, Malahide"
2173,"[datetime.date(2013, 9, 8)]",male,ODI,88,,,Australia,['MJ Clarke'],"['England', 'Australia']",field,England,Old Trafford
2174,"[datetime.date(2013, 9, 11)]",male,ODI,,,no result,,,"['England', 'Australia']",field,Australia,Edgbaston
2175,"[datetime.date(2013, 9, 14)]",male,ODI,,3,,England,['JC Buttler'],"['England', 'Australia']",field,England,Sophia Gardens
2176,"[datetime.date(2013, 9, 16)]",male,ODI,49,,,Australia,['SR Watson'],"['England', 'Australia']",bat,Australia,The Rose Bowl
2177,"[datetime.date(2013, 6, 19)]",male,ODI,,7,,England,['JC Tredwell'],"['England', 'South Africa']",field,England,Kennington Oval
2178,"[datetime.date(2013, 6, 20)]",male,ODI,,8,,India,['I Sharma'],"['India', 'Sri Lanka']",field,India,Sophia Gardens
2179,"[datetime.date(2013, 6, 23)]",male,ODI,5,,,India,['RA Jadeja'],"['England', 'India']",field,England,Edgbaston
2180,"[datetime.date(2012, 7, 18)]",male,T20,71,,,Bangladesh,['Elias Sunny'],"['Ireland', 'Bangladesh']",field,Ireland,"Civil Service Cricket Club, Stormont"
2181,"[datetime.date(2012, 7, 25)]",male,T20,,8,,Bangladesh,,"['Netherlands', 'Bangladesh']",bat,Netherlands,Sportpark Westvliet
2182,"[datetime.date(2012, 12, 21)]",male,T20,,8,,South Africa,['RK Kleinveldt'],"['South Africa', 'New Zealand']",bat,New Zealand,Kingsmead
2183,"[datetime.date(2012, 12, 23)]",male,T20,,8,,New Zealand,['MJ Guptill'],"['South Africa', 'New Zealand']",field,New Zealand,Buffalo Park
2184,"[datetime.date(2012, 12, 26)]",male,T20,33,,,South Africa,['H Davids'],"['South Africa', 'New Zealand']",bat,South Africa,St George's Park
2185,"[datetime.date(2013, 1, 2), datetime.date(2013, 1, 3), datetime.date(2013, 1, 4)]",male,Test,27,,,South Africa,['VD Philander'],"['South Africa', 'New Zealand']",bat,New Zealand,Newlands
2186,"[datetime.date(2013, 1, 11), datetime.date(2013, 1, 12), datetime.date(2013, 1, 13), datetime.date(2013, 1, 14)]",male,Test,193,,,South Africa,['DW Steyn'],"['South Africa', 'New Zealand']",bat,South Africa,St George's Park
2187,"[datetime.date(2013, 1, 19)]",male,ODI,,1,,New Zealand,['JEC Franklin'],"['South Africa', 'New Zealand']",field,New Zealand,Boland Park
2188,"[datetime.date(2013, 1, 22)]",male,ODI,27,,,New Zealand,['KS Williamson'],"['South Africa', 'New Zealand']",field,South Africa,De Beers Diamond Oval
2189,"[datetime.date(2013, 1, 25)]",male,ODI,,1,,South Africa,['GC Smith'],"['South Africa', 'New Zealand']",bat,New Zealand,Senwes Park
2190,"[datetime.date(2013, 2, 1), datetime.date(2013, 2, 2), datetime.date(2013, 2, 3), datetime.date(2013, 2, 4)]",male,Test,211,,,South Africa,['DW Steyn'],"['South Africa', 'Pakistan']",bat,South Africa,New Wanderers Stadium
2191,"[datetime.date(2013, 2, 14), datetime.date(2013, 2, 15), datetime.date(2013, 2, 16), datetime.date(2013, 2, 17)]",male,Test,,4,,South Africa,['RJ Peterson'],"['South Africa', 'Pakistan']",field,South Africa,Newlands
2192,"[datetime.date(2013, 2, 22), datetime.date(2013, 2, 23), datetime.date(2013, 2, 24)]",male,Test,18,,,South Africa,['KJ Abbott'],"['South Africa', 'Pakistan']",bat,South Africa,SuperSport Park
2193,"[datetime.date(2013, 3, 3)]",male,T20,95,,,Pakistan,['Mohammad Hafeez'],"['South Africa', 'Pakistan']",bat,Pakistan,SuperSport Park
2194,"[datetime.date(2013, 3, 10)]",male,ODI,125,,,South Africa,['CA Ingram'],"['South Africa', 'Pakistan']",field,Pakistan,Chevrolet Park
2195,"[datetime.date(2013, 3, 15)]",male,ODI,,6,,Pakistan,['Mohammad Irfan'],"['South Africa', 'Pakistan']",bat,South Africa,SuperSport Park
2196,"[datetime.date(2013, 3, 17)]",male,ODI,34,,,South Africa,"['HM Amla', 'AB de Villiers']","['South Africa', 'Pakistan']",field,Pakistan,New Wanderers Stadium
2197,"[datetime.date(2013, 3, 21)]",male,ODI,,3,,Pakistan,['Misbah-ul-Haq'],"['South Africa', 'Pakistan']",bat,South Africa,Kingsmead
2198,"[datetime.date(2013, 3, 24)]",male,ODI,,6,,South Africa,['AB de Villiers'],"['South Africa', 'Pakistan']",bat,Pakistan,Willowmoore Park
2199,"[datetime.date(2013, 2, 9)]",male,T20,40,,,England,,"['New Zealand', 'England']",field,New Zealand,Eden Park
2200,"[datetime.date(2013, 2, 12)]",male,T20,55,,,New Zealand,,"['New Zealand', 'England']",field,England,Seddon Park
2201,"[datetime.date(2013, 2, 15)]",male,T20,,10,,England,,"['New Zealand', 'England']",field,England,Westpac Stadium
2202,"[datetime.date(2013, 2, 17)]",male,ODI,,3,,New Zealand,['BB McCullum'],"['New Zealand', 'England']",field,New Zealand,Seddon Park
2203,"[datetime.date(2013, 2, 20)]",male,ODI,,8,,England,,"['New Zealand', 'England']",field,England,McLean Park
2204,"[datetime.date(2013, 2, 23)]",male,ODI,,5,,England,,"['New Zealand', 'England']",field,England,Eden Park
2205,"[datetime.date(2013, 3, 6), datetime.date(2013, 3, 7), datetime.date(2013, 3, 8), datetime.date(2013, 3, 9), datetime.date(2013, 3, 10)]",male,Test,,,draw,,,"['New Zealand', 'England']",field,New Zealand,University Oval
2206,"[datetime.date(2013, 3, 14), datetime.date(2013, 3, 15), datetime.date(2013, 3, 16), datetime.date(2013, 3, 17), datetime.date(2013, 3, 18)]",male,Test,,,draw,,,"['New Zealand', 'England']",field,New Zealand,Basin Reserve
2207,"[datetime.date(2013, 3, 22), datetime.date(2013, 3, 23), datetime.date(2013, 3, 24), datetime.date(2013, 3, 25), datetime.date(2013, 3, 26)]",male,Test,,,draw,,,"['New Zealand', 'England']",field,England,Eden Park
2208,"[datetime.date(2012, 8, 28)]",male,ODI,,4,,Australia,['MA Starc'],"['Australia', 'Pakistan']",bat,Pakistan,Sharjah Cricket Stadium
2209,"[datetime.date(2012, 8, 31)]",male,ODI,,7,,Pakistan,['Nasir Jamshed'],"['Australia', 'Pakistan']",bat,Australia,Sheikh Zayed Stadium
2210,"[datetime.date(2012, 9, 3)]",male,ODI,,3,,Australia,['MEK Hussey'],"['Australia', 'Pakistan']",field,Australia,Sharjah Cricket Stadium
2211,"[datetime.date(2012, 9, 5)]",male,T20,,7,,Pakistan,['Mohammad Hafeez'],"['Australia', 'Pakistan']",field,Pakistan,Dubai International Cricket Stadium
2212,"[datetime.date(2012, 9, 7)]",male,T20,,,tie,,['Saeed Ajmal'],"['Australia', 'Pakistan']",bat,Pakistan,Dubai International Cricket Stadium
2213,"[datetime.date(2012, 9, 10)]",male,T20,94,,,Australia,['DA Warner'],"['Australia', 'Pakistan']",field,Pakistan,Dubai International Cricket Stadium
2214,"[datetime.date(2012, 12, 7)]",male,T20,,8,,Melbourne Renegades,['AJ Finch'],"['Melbourne Renegades', 'Melbourne Stars']",bat,Melbourne Stars,Docklands Stadium
2215,"[datetime.date(2012, 12, 8)]",male,T20,,7,,Sydney Sixers,['BJ Haddin'],"['Sydney Sixers', 'Sydney Thunder']",field,Sydney Sixers,Sydney Cricket Ground
2216,"[datetime.date(2012, 12, 9)]",male,T20,,8,,Hobart Hurricanes,['TR Birt'],"['Brisbane Heat', 'Hobart Hurricanes']",bat,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba"
2217,"[datetime.date(2012, 12, 9)]",male,T20,,6,,Adelaide Strikers,['PJ Hughes'],"['Perth Scorchers', 'Adelaide Strikers']",bat,Perth Scorchers,Western Australia Cricket Association Ground
2218,"[datetime.date(2012, 12, 12)]",male,T20,24,,,Melbourne Stars,['SL Malinga'],"['Perth Scorchers', 'Melbourne Stars']",field,Melbourne Stars,Western Australia Cricket Association Ground
2219,"[datetime.date(2012, 12, 13)]",male,T20,,3,,Brisbane Heat,['LA Pomersbach'],"['Adelaide Strikers', 'Brisbane Heat']",field,Brisbane Heat,Adelaide Oval
2220,"[datetime.date(2012, 12, 14)]",male,T20,,5,,Melbourne Renegades,"[""AW O'Brien""]","['Sydney Thunder', 'Melbourne Renegades']",field,Melbourne Renegades,Stadium Australia
2221,"[datetime.date(2012, 12, 15)]",male,T20,,4,,Melbourne Stars,['CJ McKay'],"['Melbourne Stars', 'Hobart Hurricanes']",field,Melbourne Stars,Melbourne Cricket Ground
2222,"[datetime.date(2012, 12, 16)]",male,T20,,7,,Perth Scorchers,['MA Beer'],"['Sydney Sixers', 'Perth Scorchers']",field,Perth Scorchers,Sydney Cricket Ground
2223,"[datetime.date(2012, 12, 18)]",male,T20,,9,,Perth Scorchers,['NM Coulter-Nile'],"['Brisbane Heat', 'Perth Scorchers']",field,Perth Scorchers,"Brisbane Cricket Ground, Woolloongabba"
2224,"[datetime.date(2012, 12, 19)]",male,T20,,7,,Melbourne Renegades,['MN Samuels'],"['Melbourne Renegades', 'Hobart Hurricanes']",field,Melbourne Renegades,Docklands Stadium
2225,"[datetime.date(2012, 12, 20)]",male,T20,51,,,Adelaide Strikers,['KW Richardson'],"['Sydney Thunder', 'Adelaide Strikers']",field,Sydney Thunder,Stadium Australia
2226,"[datetime.date(2012, 12, 22)]",male,T20,,6,,Melbourne Renegades,['BCJ Cutting'],"['Melbourne Renegades', 'Brisbane Heat']",bat,Brisbane Heat,Docklands Stadium
2227,"[datetime.date(2012, 12, 23)]",male,T20,,9,,Adelaide Strikers,['TP Ludeman'],"['Adelaide Strikers', 'Sydney Sixers']",bat,Sydney Sixers,Adelaide Oval
2228,"[datetime.date(2012, 12, 26)]",male,T20,,7,,Hobart Hurricanes,['RT Ponting'],"['Sydney Sixers', 'Hobart Hurricanes']",field,Hobart Hurricanes,Sydney Cricket Ground
2229,"[datetime.date(2012, 12, 27)]",male,T20,8,,,Melbourne Stars,['BJ Hodge'],"['Adelaide Strikers', 'Melbourne Stars']",bat,Melbourne Stars,Adelaide Oval
2230,"[datetime.date(2012, 12, 28)]",male,T20,,5,,Brisbane Heat,['DT Christian'],"['Sydney Thunder', 'Brisbane Heat']",bat,Sydney Thunder,Stadium Australia
2231,"[datetime.date(2012, 12, 29)]",male,T20,51,,,Perth Scorchers,['SE Marsh'],"['Perth Scorchers', 'Melbourne Renegades']",field,Melbourne Renegades,Western Australia Cricket Association Ground
2232,"[datetime.date(2012, 12, 30)]",male,T20,,4,,Sydney Sixers,['DP Hughes'],"['Sydney Thunder', 'Sydney Sixers']",bat,Sydney Thunder,Stadium Australia
2233,"[datetime.date(2013, 1, 2)]",male,T20,48,,,Melbourne Renegades,['M Muralitharan'],"['Melbourne Renegades', 'Adelaide Strikers']",field,Adelaide Strikers,Docklands Stadium
2234,"[datetime.date(2013, 1, 4)]",male,T20,,9,,Perth Scorchers,['JP Behrendorff'],"['Perth Scorchers', 'Sydney Thunder']",bat,Sydney Thunder,Western Australia Cricket Association Ground
2235,"[datetime.date(2013, 1, 6)]",male,T20,,9,,Melbourne Renegades,['AJ Finch'],"['Melbourne Stars', 'Melbourne Renegades']",bat,Melbourne Stars,Melbourne Cricket Ground
2236,"[datetime.date(2013, 1, 7)]",male,T20,,5,,Sydney Sixers,['MJ Lumb'],"['Brisbane Heat', 'Sydney Sixers']",bat,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba"
2237,"[datetime.date(2013, 1, 8)]",male,T20,13,,,Melbourne Stars,['CH Gayle'],"['Melbourne Stars', 'Sydney Thunder']",bat,Melbourne Stars,Melbourne Cricket Ground
2238,"[datetime.date(2013, 1, 10)]",male,T20,98,,,Perth Scorchers,['SE Marsh'],"['Adelaide Strikers', 'Perth Scorchers']",bat,Perth Scorchers,Adelaide Oval
2239,"[datetime.date(2013, 2, 4)]",male,T20,15,,,Brisbane Heat,['LA Pomersbach'],"['Melbourne Renegades', 'Brisbane Heat']",bat,Brisbane Heat,Docklands Stadium
2240,"[datetime.date(2013, 2, 5)]",male,T20,,8,,Perth Scorchers,['SE Marsh'],"['Perth Scorchers', 'Melbourne Stars']",field,Perth Scorchers,Western Australia Cricket Association Ground
2241,"[datetime.date(2013, 1, 19)]",male,T20,34,,,Brisbane Heat,['NM Hauritz'],"['Perth Scorchers', 'Brisbane Heat']",bat,Brisbane Heat,Western Australia Cricket Association Ground
2242,"[datetime.date(2012, 8, 25)]",male,ODI,66,,,Australia,['MA Starc'],"['Afghanistan', 'Australia']",bat,Australia,Sharjah Cricket Association Stadium
2243,"[datetime.date(2012, 11, 9), datetime.date(2012, 11, 10), datetime.date(2012, 11, 11), datetime.date(2012, 11, 12), datetime.date(2012, 11, 13)]",male,Test,,,draw,,['MJ Clarke'],"['Australia', 'South Africa']",bat,South Africa,"Brisbane Cricket Ground, Woolloongabba"
2244,"[datetime.date(2012, 11, 22), datetime.date(2012, 11, 23), datetime.date(2012, 11, 24), datetime.date(2012, 11, 25), datetime.date(2012, 11, 26)]",male,Test,,,draw,,['F du Plessis'],"['Australia', 'South Africa']",bat,Australia,Adelaide Oval
2245,"[datetime.date(2012, 11, 30), datetime.date(2012, 12, 1), datetime.date(2012, 12, 2), datetime.date(2012, 12, 3)]",male,Test,309,,,South Africa,['HM Amla'],"['Australia', 'South Africa']",bat,South Africa,Western Australia Cricket Association Ground
2246,"[datetime.date(2012, 12, 14), datetime.date(2012, 12, 15), datetime.date(2012, 12, 16), datetime.date(2012, 12, 17), datetime.date(2012, 12, 18)]",male,Test,137,,,Australia,['PM Siddle'],"['Australia', 'Sri Lanka']",bat,Australia,Bellerive Oval
2247,"[datetime.date(2012, 12, 26), datetime.date(2012, 12, 27), datetime.date(2012, 12, 28)]",male,Test,201,,,Australia,['MG Johnson'],"['Australia', 'Sri Lanka']",bat,Sri Lanka,Melbourne Cricket Ground
2248,"[datetime.date(2013, 1, 3), datetime.date(2013, 1, 4), datetime.date(2013, 1, 5), datetime.date(2013, 1, 6)]",male,Test,,5,,Australia,['JM Bird'],"['Australia', 'Sri Lanka']",field,Australia,Sydney Cricket Ground
2249,"[datetime.date(2013, 1, 11)]",male,ODI,107,,,Australia,['PJ Hughes'],"['Australia', 'Sri Lanka']",bat,Australia,Melbourne Cricket Ground
2250,"[datetime.date(2013, 1, 13)]",male,ODI,,8,,Sri Lanka,['HDRL Thirimanne'],"['Australia', 'Sri Lanka']",field,Sri Lanka,Adelaide Oval
2251,"[datetime.date(2013, 1, 18)]",male,ODI,,4,,Sri Lanka,['KMDN Kulasekara'],"['Australia', 'Sri Lanka']",bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
2252,"[datetime.date(2013, 1, 20)]",male,ODI,,,no result,,,"['Australia', 'Sri Lanka']",bat,Australia,Sydney Cricket Ground
2253,"[datetime.date(2013, 1, 23)]",male,ODI,32,,,Australia,['PJ Hughes'],"['Australia', 'Sri Lanka']",field,Sri Lanka,Bellerive Oval
2254,"[datetime.date(2013, 1, 26)]",male,T20,,5,,Sri Lanka,['DA Warner'],"['Australia', 'Sri Lanka']",bat,Australia,Stadium Australia
2255,"[datetime.date(2013, 1, 28)]",male,T20,2,,,Sri Lanka,['NLTC Perera'],"['Australia', 'Sri Lanka']",field,Australia,Melbourne Cricket Ground
2256,"[datetime.date(2013, 2, 1)]",male,ODI,,9,,Australia,['MA Starc'],"['Australia', 'West Indies']",bat,West Indies,Western Australia Cricket Association Ground
2257,"[datetime.date(2013, 2, 3)]",male,ODI,54,,,Australia,['GJ Bailey'],"['Australia', 'West Indies']",field,West Indies,Western Australia Cricket Association Ground
2258,"[datetime.date(2013, 2, 6)]",male,ODI,39,,,Australia,['SR Watson'],"['Australia', 'West Indies']",bat,Australia,Manuka Oval
2259,"[datetime.date(2013, 2, 8)]",male,ODI,,5,,Australia,['KA Pollard'],"['Australia', 'West Indies']",bat,West Indies,Sydney Cricket Ground
2260,"[datetime.date(2013, 2, 10)]",male,ODI,17,,,Australia,['AC Voges'],"['Australia', 'West Indies']",field,West Indies,Melbourne Cricket Ground
2261,"[datetime.date(2013, 2, 13)]",male,T20,27,,,West Indies,['KA Pollard'],"['Australia', 'West Indies']",bat,West Indies,"Brisbane Cricket Ground, Woolloongabba"
2262,"[datetime.date(2012, 7, 26)]",male,T20,,1,,Netherlands,,"['Netherlands', 'Bangladesh']",bat,Bangladesh,Sportpark Westvliet
2263,"[datetime.date(2012, 9, 3)]",male,ODM,88,,,Denmark,['Aftab Ahmed'],"['Denmark', 'Tanzania']",bat,Denmark,Kinrara Academy Oval
2264,"[datetime.date(2012, 9, 3)]",male,ODM,,5,,Nepal,['A Bhattarai'],"['Nepal', 'Singapore']",bat,Singapore,Selangor Turf Club
2265,"[datetime.date(2012, 9, 4)]",male,ODM,112,,,Singapore,['C Janik'],"['Malaysia', 'Singapore']",bat,Singapore,Kinrara Academy Oval
2266,"[datetime.date(2012, 9, 4)]",male,ODM,56,,,Denmark,['MR Pedersen'],"['Denmark', 'United States of America']",field,United States of America,Selangor Turf Club
2267,"[datetime.date(2012, 9, 4)]",male,ODM,,8,,Nepal,['P Khadka'],"['Nepal', 'Tanzania']",bat,Tanzania,Bayuemas Oval
2268,"[datetime.date(2012, 9, 6)]",male,ODM,,7,,United States of America,['Usman Shuja'],"['Tanzania', 'United States of America']",field,United States of America,Kinrara Academy Oval
2269,"[datetime.date(2012, 9, 6)]",male,ODM,,10,,Nepal,['SP Gauchan'],"['Malaysia', 'Nepal']",bat,Malaysia,Selangor Turf Club
2270,"[datetime.date(2012, 9, 6)]",male,ODM,,4,,Singapore,['M Arora'],"['Denmark', 'Singapore']",bat,Denmark,Bayuemas Oval
2271,"[datetime.date(2012, 9, 7)]",male,ODM,32,,,Nepal,['SP Khakurel'],"['Nepal', 'United States of America']",bat,Nepal,Kinrara Academy Oval
2272,"[datetime.date(2012, 9, 7)]",male,ODM,,8,,Singapore,['Abhiraj Singh'],"['Singapore', 'Tanzania']",field,Singapore,Selangor Turf Club
2273,"[datetime.date(2012, 9, 9)]",male,ODM,25,,,Nepal,['AK Mandal'],"['Denmark', 'Nepal']",bat,Nepal,Kinrara Academy Oval
2274,"[datetime.date(2012, 9, 9)]",male,ODM,37,,,United States of America,['TP Allen'],"['Singapore', 'United States of America']",bat,United States of America,Bayuemas Oval
2275,"[datetime.date(2012, 9, 10)]",male,ODM,,5,,Singapore,['CR Suryawanshi'],"['Denmark', 'Singapore']",bat,Denmark,Selangor Turf Club
2276,"[datetime.date(2013, 6, 6)]",male,ODI,26,,,India,['S Dhawan'],"['India', 'South Africa']",field,South Africa,Sophia Gardens
2277,"[datetime.date(2013, 6, 7)]",male,ODI,,2,,West Indies,['KAJ Roach'],"['Pakistan', 'West Indies']",field,West Indies,Kennington Oval
2278,"[datetime.date(2013, 6, 8)]",male,ODI,48,,,England,['IR Bell'],"['England', 'Australia']",bat,England,Edgbaston
2279,"[datetime.date(2013, 6, 9)]",male,ODI,,1,,New Zealand,['NL McCullum'],"['New Zealand', 'Sri Lanka']",bat,Sri Lanka,Sophia Gardens
2280,"[datetime.date(2013, 6, 10)]",male,ODI,67,,,South Africa,['HM Amla'],"['Pakistan', 'South Africa']",bat,South Africa,Edgbaston
2281,"[datetime.date(2013, 6, 11)]",male,ODI,,8,,India,['RA Jadeja'],"['India', 'West Indies']",field,India,Kennington Oval
2282,"[datetime.date(2013, 6, 12)]",male,ODI,,,no result,,,"['Australia', 'New Zealand']",bat,Australia,Edgbaston
2283,"[datetime.date(2013, 6, 13)]",male,ODI,,7,,Sri Lanka,['KC Sangakkara'],"['England', 'Sri Lanka']",field,Sri Lanka,Kennington Oval
2284,"[datetime.date(2013, 6, 14)]",male,ODI,,,tie,,['CA Ingram'],"['South Africa', 'West Indies']",field,West Indies,Sophia Gardens
2285,"[datetime.date(2013, 6, 15)]",male,ODI,,8,,India,['B Kumar'],"['India', 'Pakistan']",field,India,Edgbaston
2286,"[datetime.date(2013, 6, 16)]",male,ODI,10,,,England,['AN Cook'],"['England', 'New Zealand']",field,New Zealand,Sophia Gardens
2287,"[datetime.date(2013, 6, 17)]",male,ODI,20,,,Sri Lanka,['DPMD Jayawardene'],"['Australia', 'Sri Lanka']",field,Australia,Kennington Oval
2288,"[datetime.date(2012, 9, 17)]",male,ODM,,5,,Vanuatu,['A Mansale'],"['Ghana', 'Vanuatu']",bat,Ghana,Faleata Oval No 1
2289,"[datetime.date(2012, 9, 17)]",male,ODM,60,,,Japan,['A Patmore'],"['Bhutan', 'Japan']",bat,Japan,Faleata Oval No 3
2290,"[datetime.date(2012, 9, 20)]",male,ODM,,6,,Samoa,['T Kaisala'],"['Samoa', 'Bhutan']",bat,Bhutan,Faleata Oval No 3
2291,"[datetime.date(2012, 9, 22)]",male,ODM,39,,,Vanuatu,['J Dunn'],"['Ghana', 'Vanuatu']",bat,Vanuatu,Faleata Oval No 1
2292,"[datetime.date(2012, 9, 22)]",male,ODM,10,,,Japan,['A Patmore'],"['Belgium', 'Japan']",bat,Japan,Faleata Oval No 2
2293,"[datetime.date(2012, 9, 22)]",male,ODM,134,,,Norway,['Tafseer Ali'],"['Samoa', 'Norway']",field,Samoa,Faleata Oval No 3
2294,"[datetime.date(2012, 10, 30)]",male,T20,,,no result,,,"['Sri Lanka', 'New Zealand']",field,Sri Lanka,Pallekele International Cricket Stadium
2295,"[datetime.date(2012, 11, 4)]",male,ODI,14,,,Sri Lanka,['SL Malinga'],"['Sri Lanka', 'New Zealand']",bat,New Zealand,Pallekele International Cricket Stadium
2296,"[datetime.date(2012, 11, 6)]",male,ODI,,7,,Sri Lanka,['TM Dilshan'],"['Sri Lanka', 'New Zealand']",field,Sri Lanka,Pallekele International Cricket Stadium
2297,"[datetime.date(2012, 11, 10)]",male,ODI,,7,,Sri Lanka,['BMAJ Mendis'],"['Sri Lanka', 'New Zealand']",field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2298,"[datetime.date(2012, 11, 12)]",male,ODI,,,no result,,,"['Sri Lanka', 'New Zealand']",field,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2299,"[datetime.date(2012, 11, 17), datetime.date(2012, 11, 18), datetime.date(2012, 11, 19)]",male,Test,,10,,Sri Lanka,['HMRKB Herath'],"['Sri Lanka', 'New Zealand']",bat,New Zealand,Galle International Stadium
2300,"[datetime.date(2012, 11, 25), datetime.date(2012, 11, 26), datetime.date(2012, 11, 27), datetime.date(2012, 11, 28), datetime.date(2012, 11, 29)]",male,Test,167,,,New Zealand,['LRPL Taylor'],"['Sri Lanka', 'New Zealand']",bat,New Zealand,P Sara Oval
