index_all,info.dates,info.gender,info.match_type,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.result,info.outcome.winner,info.player_of_match,info.teams,info.toss.decision,info.toss.winner,info.venue
644,"[datetime.date(2006, 10, 17)]",male,ODI,,4,,Pakistan,['Abdul Razzaq'],"['Pakistan', 'Sri Lanka']",bat,Sri Lanka,Sawai Mansingh Stadium
645,"[datetime.date(2006, 10, 18)]",male,ODI,10,,,West Indies,['RS Morton'],"['Australia', 'West Indies']",bat,West Indies,Brabourne Stadium
646,"[datetime.date(2006, 10, 20)]",male,ODI,,7,,Sri Lanka,['M Muralitharan'],"['New Zealand', 'Sri Lanka']",bat,New Zealand,Brabourne Stadium
647,"[datetime.date(2006, 10, 21)]",male,ODI,,6,,Australia,['DR Martyn'],"['Australia', 'England']",field,Australia,Sawai Mansingh Stadium
648,"[datetime.date(2006, 10, 24)]",male,ODI,78,,,South Africa,['SM Pollock'],"['South Africa', 'Sri Lanka']",field,Sri Lanka,"Sardar Patel Stadium, Motera"
649,"[datetime.date(2006, 10, 25)]",male,ODI,51,,,New Zealand,['SP Fleming'],"['New Zealand', 'Pakistan']",field,Pakistan,"Punjab Cricket Association Stadium, Mohali"
650,"[datetime.date(2006, 10, 26)]",male,ODI,,3,,West Indies,['S Chanderpaul'],"['India', 'West Indies']",field,West Indies,"Sardar Patel Stadium, Motera"
651,"[datetime.date(2006, 10, 27)]",male,ODI,124,,,South Africa,['M Ntini'],"['Pakistan', 'South Africa']",bat,South Africa,"Punjab Cricket Association Stadium, Mohali"
652,"[datetime.date(2006, 10, 28)]",male,ODI,,3,,England,['CH Gayle'],"['England', 'West Indies']",bat,West Indies,"Sardar Patel Stadium, Motera"
653,"[datetime.date(2006, 10, 29)]",male,ODI,,6,,Australia,['DR Martyn'],"['India', 'Australia']",bat,India,"Punjab Cricket Association Stadium, Mohali"
654,"[datetime.date(2006, 11, 1)]",male,ODI,34,,,Australia,['GD McGrath'],"['Australia', 'New Zealand']",field,New Zealand,"Punjab Cricket Association Stadium, Mohali"
655,"[datetime.date(2006, 11, 2)]",male,ODI,,6,,West Indies,['CH Gayle'],"['South Africa', 'West Indies']",bat,South Africa,Sawai Mansingh Stadium
656,"[datetime.date(2006, 11, 5)]",male,ODI,,8,,Australia,['SR Watson'],"['Australia', 'West Indies']",bat,West Indies,Brabourne Stadium
657,"[datetime.date(2007, 2, 4)]",male,ODI,164,,,South Africa,['JH Kallis'],"['South Africa', 'Pakistan']",field,Pakistan,SuperSport Park
658,"[datetime.date(2007, 2, 7)]",male,ODI,141,,,Pakistan,['Younis Khan'],"['South Africa', 'Pakistan']",bat,Pakistan,Kingsmead
659,"[datetime.date(2007, 2, 9)]",male,ODI,,,no result,,,"['South Africa', 'Pakistan']",bat,Pakistan,St George's Park
