,match_id,for team,name,match_type,date,neutral,against,venue,runs,balls_faced
58,1811.0,Australia,DA Warner,ODI,2012-03-02,,Sri Lanka,Melbourne Cricket Ground,6.0,6.0
59,1812.0,Australia,DA Warner,ODI,2012-03-04,,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",163.0,159.0
60,1813.0,Australia,DA Warner,ODI,2012-03-06,,Sri Lanka,Adelaide Oval,100.0,140.0
61,1814.0,Australia,DA Warner,ODI,2012-03-08,,Sri Lanka,Adelaide Oval,48.0,45.0
62,1926.0,Australia,DA Warner,T20,2012-09-22,1.0,West Indies,R Premadasa Stadium,28.0,15.0
63,1934.0,Australia,DA Warner,T20,2012-09-28,1.0,India,R Premadasa Stadium,63.0,42.0
64,1937.0,Australia,DA Warner,T20,2012-09-30,1.0,South Africa,R Premadasa Stadium,5.0,9.0
65,1941.0,Australia,DA Warner,T20,2012-10-02,1.0,Pakistan,R Premadasa Stadium,8.0,13.0
66,1944.0,Australia,DA Warner,T20,2012-10-05,1.0,West Indies,R Premadasa Stadium,1.0,3.0
67,1968.0,Australia,DA Warner,ODI,2012-06-29,,England,Lord's,56.0,63.0
68,1969.0,Australia,DA Warner,ODI,2012-07-01,,England,Kennington Oval,10.0,20.0
69,1970.0,Australia,DA Warner,ODI,2012-07-07,,England,Riverside Ground,2.0,19.0
70,1971.0,Australia,DA Warner,ODI,2012-07-10,,England,Old Trafford,32.0,33.0
71,2004.0,Australia,DA Warner,ODI,2012-03-16,,West Indies,"Arnos Vale Ground, Kingstown",40.0,56.0
72,2005.0,Australia,DA Warner,ODI,2012-03-18,,West Indies,"Arnos Vale Ground, Kingstown",13.0,20.0
73,2006.0,Australia,DA Warner,ODI,2012-03-20,,West Indies,"Arnos Vale Ground, Kingstown",37.0,51.0
74,2007.0,Australia,DA Warner,ODI,2012-03-23,,West Indies,"Beausejour Stadium, Gros Islet",1.0,5.0
75,2008.0,Australia,DA Warner,ODI,2012-03-25,,West Indies,"Beausejour Stadium, Gros Islet",69.0,62.0
76,2009.0,Australia,DA Warner,T20,2012-03-27,,West Indies,"Beausejour Stadium, Gros Islet",0.0,5.0
77,2010.0,Australia,DA Warner,T20,2012-03-30,,West Indies,"Kensington Oval, Bridgetown",58.0,43.0
